UTC_Time,Account,Operation,Coin,Change,Remark
2021-03-20 14:43:42,Spot,Large OTC trading,BTC,-0.00083894,""
2021-03-20 14:43:42,Spot,Large OTC trading,ETH,0.02684788,""
2021-03-20 14:33:47,Spot,Large OTC trading,BTC,-0.00167788,""
2021-03-20 14:33:47,Spot,Large OTC trading,BNB,0.36698074,""
2021-04-11 20:09:52,Spot,Large OTC trading,BTC,-0.00083894,""
2021-04-11 20:09:53,Spot,Large OTC trading,BNB,0.08975519,""
2021-04-11 20:10:17,Spot,Large OTC trading,ETH,-0.02684788,""
2021-04-11 20:10:17,Spot,Large OTC trading,BNB,0.10966983,""
2021-04-12 19:58:39,Spot,Large OTC trading,BNB,-0.20000000,""
2021-04-12 19:58:39,Spot,Large OTC trading,BUSD,117.23820000,""
2021-04-12 20:03:08,Spot,Large OTC trading,BUSD,-117.23820000,""
2021-04-12 20:03:08,Spot,Large OTC trading,BNB,0.19817910,""
2021-04-13 13:53:20,Spot,Large OTC trading,BUSD,57.03110000,""
2021-04-13 13:53:20,Spot,Large OTC trading,BNB,-0.10000000,""
2021-04-13 14:00:16,Spot,Large OTC trading,BTC,0.00090640,""
2021-04-13 14:00:16,Spot,Large OTC trading,BUSD,-57.03110000,""
2021-04-13 14:53:09,Spot,Large OTC trading,BTC,-0.00090640,""
2021-04-13 14:53:09,Spot,Large OTC trading,BNB,0.08975502,""
2021-04-13 14:58:14,Spot,Large OTC trading,BNB,-0.10000000,""
2021-04-13 14:58:14,Spot,Large OTC trading,BUSD,57.49680000,""
2021-04-13 19:27:36,Spot,Large OTC trading,BTC,0.00399949,""
2021-04-13 19:27:36,Spot,Large OTC trading,BNB,-0.45433988,""
2021-04-13 23:40:57,Spot,Large OTC trading,BNB,0.45869761,""
2021-04-13 23:40:57,Spot,Large OTC trading,BTC,-0.00399949,""
2021-04-13 23:43:41,Spot,Small assets exchange BNB,BNB,0.01002520,""
2021-04-13 23:43:41,Spot,Small assets exchange BNB,BUSD,-5.63032690,""
2021-04-14 03:28:05,Spot,Large OTC trading,BNB,-0.46872281,""
2021-04-14 03:28:05,Spot,Large OTC trading,BTC,0.00414787,""
2021-04-14 23:03:40,Spot,Deposit,BTC,0.00754503,""
2021-04-15 00:39:09,Spot,Large OTC trading,ETH,0.07558716,""
2021-04-15 00:39:09,Spot,Large OTC trading,BTC,-0.00292322,""
2021-04-15 00:50:22,Spot,Large OTC trading,ADA,84.51040763,""
2021-04-15 00:50:22,Spot,Large OTC trading,BTC,-0.00194881,""
2021-04-15 00:51:28,Spot,Large OTC trading,BTC,-0.00194881,""
2021-04-15 00:51:28,Spot,Large OTC trading,LTC,0.43875516,""
2021-04-16 00:35:11,Spot,Large OTC trading,BTC,-0.00194882,""
2021-04-16 00:35:12,Spot,Large OTC trading,XMR,0.36117953,""
2021-04-16 21:02:43,Spot,Large OTC trading,USDT,124.13776564,""
2021-04-16 21:02:43,Spot,Large OTC trading,XMR,-0.36117953,""
2021-04-16 21:03:49,Spot,Large OTC trading,USDT,-124.13776564,""
2021-04-16 21:03:50,Spot,Large OTC trading,DOGE,339.06768540,""
2021-04-17 03:40:13,Spot,Large OTC trading,DOGE,-339.06768540,""
2021-04-17 03:40:13,Spot,Large OTC trading,USDT,101.02894661,""
2021-04-17 03:44:42,Spot,Large OTC trading,USDT,-101.02894661,""
2021-04-17 03:44:42,Spot,Large OTC trading,XMR,0.28155179,""
2021-04-22 13:20:38,Spot,Large OTC trading,ETH,-0.07558716,""
2021-04-22 13:20:38,Spot,Large OTC trading,USDT,193.73971741,""
2021-04-25 16:26:44,Spot,Large OTC trading,USDT,-193.73971741,""
2021-04-25 16:26:44,Spot,Large OTC trading,ETH,0.08217632,""
2021-04-28 03:57:07,Spot,Buy,USDT,118.25100000,""
2021-04-28 03:57:07,Spot,Fee,USDT,-0.11825100,""
2021-04-28 03:57:07,Spot,Transaction Related,XMR,-0.28155000,""
2021-04-29 22:41:07,Spot,Deposit,BTC,0.00604704,""
2021-04-29 22:43:06,Spot,Large OTC trading,BNB,0.26924077,""
2021-04-29 22:43:06,Spot,Large OTC trading,BTC,-0.00302352,""
2021-04-29 22:44:54,Spot,Small assets exchange BNB,BNB,0.00000118,""
2021-04-29 22:44:54,Spot,Small assets exchange BNB,XMR,-0.00000179,""
2021-04-29 23:00:05,Spot,Large OTC trading,BTC,-0.00151176,""
2021-04-29 23:00:05,Spot,Large OTC trading,ETH,0.02914264,""
2021-05-02 20:08:04,Spot,POS savings purchase,ADA,-84.51040763,""
2021-05-03 02:48:32,Spot,Transaction Related,ETH,-0.11131000,""
2021-05-03 02:48:32,Spot,Buy,USDT,337.26930000,""
2021-05-03 02:48:32,Spot,Fee,BNB,-0.00040389,""
2021-05-03 12:16:54,Spot,Fee,BNB,-0.00036181,""
2021-05-03 12:16:54,Spot,Buy,LTC,1.12434000,""
2021-05-03 12:16:54,Spot,Transaction Related,USDT,-315.11877180,""
2021-05-03 12:19:04,Spot,Fee,BNB,-0.00002381,""
2021-05-03 12:19:04,Spot,Buy,LTC,0.07394000,""
2021-05-03 12:19:04,Spot,Transaction Related,USDT,-20.74090940,""
2021-05-04 05:11:45,Spot,POS savings interest,ADA,0.01803621,""
2021-05-04 09:12:34,Spot,Transaction Related,LTC,-1.63703000,""
2021-05-04 09:12:34,Spot,Fee,BNB,-0.00056659,""
2021-05-04 09:12:34,Spot,Buy,USDT,494.38306000,""
2021-05-04 15:44:51,Spot,Large OTC trading,BTC,0.00910102,""
2021-05-04 15:44:51,Spot,Large OTC trading,USDT,-495.82542780,""
2021-05-04 15:48:35,Spot,Large OTC trading,BTC,-0.00910102,""
2021-05-04 15:48:35,Spot,Large OTC trading,USDT,494.80243516,""
2021-05-05 10:14:18,Spot,POS savings interest,ADA,0.01803621,""
2021-05-06 04:28:39,Spot,POS savings interest,ADA,0.01803621,""
2021-05-07 01:45:41,Spot,POS savings interest,ADA,0.01803621,""
2021-05-08 02:34:25,Spot,POS savings interest,ADA,0.01803621,""
2021-05-09 02:11:04,Spot,POS savings interest,ADA,0.01803621,""
2021-05-10 01:42:43,Spot,POS savings interest,ADA,0.01803621,""
2021-05-10 20:29:11,Spot,Fee,BNB,-0.00035724,""
2021-05-10 20:29:11,Spot,Transaction Related,USDT,-300.28613640,""
2021-05-10 20:29:11,Spot,Buy,ETH,0.07628000,""
2021-05-10 21:22:41,Spot,Small assets exchange BNB,LTC,-0.00000516,""
2021-05-10 21:22:42,Spot,Small assets exchange BNB,BNB,0.00000291,""
2021-05-11 01:43:39,Spot,POS savings interest,ADA,0.01803621,""
2021-05-11 03:23:17,Spot,Fee,BNB,-0.00037203,""
2021-05-11 03:23:17,Spot,Buy,ETH,0.08251000,""
2021-05-11 03:23:17,Spot,Transaction Related,USDT,-312.58335930,""
2021-05-12 01:42:35,Spot,POS savings interest,ADA,0.01803621,""
2021-05-13 01:43:48,Spot,POS savings interest,ADA,0.01803621,""
2021-05-13 22:50:42,Spot,Deposit,ETH,0.20827522,""
2021-05-13 23:29:37,Spot,transfer_out,BTC,-0.00200000,""
2021-05-13 23:29:37,P2P,transfer_in,BTC,0.00200000,""
2021-05-13 23:31:12,P2P,transfer_out,BTC,-0.00200000,""
2021-05-13 23:31:12,Spot,transfer_in,BTC,0.00200000,""
2021-05-13 23:34:04,Spot,Withdraw,BTC,-0.00150000,Withdraw fee is included
2021-05-13 23:44:10,Spot,Large OTC trading,ETH,-0.04165504,""
2021-05-13 23:44:10,Spot,Large OTC trading,ADA,78.77574795,""
2021-05-13 23:44:50,Spot,Large OTC trading,ETH,-0.03124128,""
2021-05-13 23:44:51,Spot,Large OTC trading,BTC,0.00233334,""
2021-05-13 23:45:20,Spot,Large OTC trading,BNB,0.20270030,""
2021-05-13 23:45:20,Spot,Large OTC trading,ETH,-0.03124128,""
