UTC_Time,Operation,Coin,Change,Investment
2021-03-19 22:37:05,Deposit,BTC,0.00335576,250.00
2021-03-20 14:33:48,Large OTC trading,BNB,0.36698074,
2021-03-20 14:33:48,Large OTC trading,BTC,-0.00167788,
2021-03-20 14:43:43,Large OTC trading,BTC,-0.00083894,
2021-03-20 14:43:43,Large OTC trading,ETH,0.02684788,
2021-04-11 20:09:52,Large OTC trading,BTC,-0.00083894,
2021-04-11 20:09:52,Large OTC trading,BNB,0.08975519,
2021-04-11 20:10:17,Large OTC trading,ETH,-0.02684788,
2021-04-11 20:10:17,Large OTC trading,BNB,0.10966983,
2021-04-12 19:58:39,Large OTC trading,BUSD,117.23820000,
2021-04-12 19:58:39,Large OTC trading,BNB,-0.20000000,
2021-04-12 20:03:08,Large OTC trading,BUSD,-117.23820000,
2021-04-12 20:03:08,Large OTC trading,BNB,0.19817910,
2021-04-13 13:53:20,Large OTC trading,BNB,-0.10000000,
2021-04-13 13:53:20,Large OTC trading,BUSD,57.03110000,
2021-04-13 14:00:16,Large OTC trading,BUSD,-57.03110000,
2021-04-13 14:00:16,Large OTC trading,BTC,0.00090640,
2021-04-13 14:53:09,Large OTC trading,BNB,0.08975502,
2021-04-13 14:53:09,Large OTC trading,BTC,-0.00090640,
2021-04-13 14:58:14,Large OTC trading,BNB,-0.10000000,
2021-04-13 14:58:14,Large OTC trading,BUSD,57.49680000,
2021-04-13 19:27:36,Large OTC trading,BTC,0.00399949,
2021-04-13 19:27:36,Large OTC trading,BNB,-0.45433988,
2021-04-13 23:40:57,Large OTC trading,BTC,-0.00399949,
2021-04-13 23:40:57,Large OTC trading,BNB,0.45869761,
2021-04-13 23:43:41,Small assets exchange BNB,BNB,0.01002520,
2021-04-13 23:43:41,Small assets exchange BNB,BUSD,-5.63032690,
2021-04-14 03:28:05,Large OTC trading,BTC,0.00414787,
2021-04-14 03:28:05,Large OTC trading,BNB,-0.46872281,
2021-04-14 23:03:40,Deposit,BTC,0.00754503,600.00
2021-04-15 00:39:09,Large OTC trading,BTC,-0.00292322,
2021-04-15 00:39:09,Large OTC trading,ETH,0.07558716,
2021-04-15 00:50:22,Large OTC trading,ADA,84.51040763,
2021-04-15 00:50:22,Large OTC trading,BTC,-0.00194881,
2021-04-15 00:51:28,Large OTC trading,LTC,0.43875516,
2021-04-15 00:51:28,Large OTC trading,BTC,-0.00194881,
2021-04-16 00:35:12,Large OTC trading,BTC,-0.00194882,
2021-04-16 00:35:12,Large OTC trading,XMR,0.36117953,
2021-04-16 21:02:43,Large OTC trading,XMR,-0.36117953,
2021-04-16 21:02:43,Large OTC trading,USDT,124.13776564,
2021-04-16 21:03:50,Large OTC trading,USDT,-124.13776564,
2021-04-16 21:03:50,Large OTC trading,DOGE,339.06768540,
2021-04-17 03:40:13,Large OTC trading,USDT,101.02894661,
2021-04-17 03:40:13,Large OTC trading,DOGE,-339.06768540,
2021-04-17 03:44:42,Large OTC trading,USDT,-101.02894661,
2021-04-17 03:44:42,Large OTC trading,XMR,0.28155179,
2021-04-22 13:20:38,Large OTC trading,USDT,193.73971741,
2021-04-22 13:20:38,Large OTC trading,ETH,-0.07558716,
2021-04-25 16:26:44,Large OTC trading,USDT,-193.73971741,
2021-04-25 16:26:44,Large OTC trading,ETH,0.08217632,
2021-04-28 03:57:07,FEE,USDT,-0.11825100,
2021-04-28 03:57:07,Buy,USDT,118.25100000,
2021-04-28 03:57:07,Buy,XMR,-0.28155000,
2021-04-29 22:41:07,Deposit,BTC,0.00604704,400.00
2021-04-29 22:43:06,Large OTC trading,BNB,0.26924077,
2021-04-29 22:43:06,Large OTC trading,BTC,-0.00302352,
2021-04-29 22:44:54,Small assets exchange BNB,XMR,-0.00000179,
2021-04-29 22:44:54,Small assets exchange BNB,BNB,0.00000118,
2021-04-29 23:00:05,Large OTC trading,ETH,0.02914264,
2021-04-29 23:00:05,Large OTC trading,BTC,-0.00151176,
2021-05-02 20:08:04,POS savings purchase,ADA,-84.51040763,
2021-05-03 02:48:32,Buy,ETH,-0.11131000,
2021-05-03 02:48:32,Buy,USDT,337.26930000,
2021-05-03 02:48:32,FEE,BNB,-0.00040389,
2021-05-03 12:16:54,FEE,BNB,-0.00036181,
2021-05-03 12:16:54,Buy,LTC,1.12434000,
2021-05-03 12:16:54,Buy,USDT,-315.11877180,
2021-05-03 12:19:04,Buy,LTC,0.07394000,
2021-05-03 12:19:04,Buy,USDT,-20.74090940,
2021-05-03 12:19:04,FEE,BNB,-0.00002381,
2021-05-04 05:11:45,POS savings interest,ADA,0.01803621,
2021-05-04 09:12:34,Buy,LTC,-1.63703000,
2021-05-04 09:12:34,FEE,BNB,-0.00056659,
2021-05-04 09:12:34,Buy,USDT,494.38306000,
2021-05-04 15:44:51,Large OTC trading,USDT,-495.82542780,
2021-05-04 15:44:51,Large OTC trading,BTC,0.00910102,
2021-05-04 15:48:35,Large OTC trading,USDT,494.80243516,
2021-05-04 15:48:35,Large OTC trading,BTC,-0.00910102,
2021-05-05 10:14:18,POS savings interest,ADA,0.01803621,
2021-05-06 04:28:39,POS savings interest,ADA,0.01803621,
2021-05-07 01:45:41,POS savings interest,ADA,0.01803621,
2021-05-08 02:34:25,POS savings interest,ADA,0.01803621,
2021-05-09 02:11:04,POS savings interest,ADA,0.01803621,
2021-05-10 01:42:43,POS savings interest,ADA,0.01803621,
2021-05-10 20:29:11,Buy,ETH,0.07628000,
2021-05-10 20:29:11,FEE,BNB,-0.00035724,
2021-05-10 20:29:11,Buy,USDT,-300.28613640,
2021-05-10 21:22:42,Small assets exchange BNB,LTC,-0.00000516,
2021-05-10 21:22:42,Small assets exchange BNB,BNB,0.00000291,
2021-05-11 01:43:39,POS savings interest,ADA,0.01803621,
2021-05-11 03:23:17,Buy,ETH,0.08251000,
2021-05-11 03:23:17,Buy,USDT,-312.58335930,
2021-05-11 03:23:17,FEE,BNB,-0.00037203,
2021-05-12 01:42:35,POS savings interest,ADA,0.01803621,
2021-05-13 01:43:48,POS savings interest,ADA,0.01803621,
2021-05-13 22:50:42,Deposit,ETH,0.20827522,970.00
2021-05-13 23:29:37,transfer_out,BTC,-0.00200000,
2021-05-13 23:31:12,transfer_in,BTC,0.00200000,
2021-05-13 23:34:04,Withdraw,BTC,-0.00150000,
2021-05-13 23:44:10,Large OTC trading,ETH,-0.04165504,
2021-05-13 23:44:10,Large OTC trading,ADA,78.77574795,
2021-05-13 23:44:51,Large OTC trading,ETH,-0.03124128,
2021-05-13 23:44:51,Large OTC trading,BTC,0.00233334,
2021-05-13 23:45:20,Large OTC trading,ETH,-0.03124128,
2021-05-13 23:45:20,Large OTC trading,BNB,0.20270030,
2021-05-13 23:46:01,Small assets exchange BNB,USDT,-0.03293946,
2021-05-13 23:46:01,Small assets exchange BNB,BNB,0.00005672,
2021-05-14 03:35:05,POS savings interest,ADA,0.01803621,
2021-05-15 01:00:21,POS savings interest,ADA,0.01803621,
2021-05-16 01:01:12,POS savings interest,ADA,0.01803621,
2021-05-16 20:00:12,Buy,ETH,-0.26293000,
2021-05-16 20:00:12,FEE,BNB,-0.00122784,
2021-05-16 20:00:12,Buy,USDT,899.22060000,
2021-05-17 01:00:26,POS savings interest,ADA,0.01803621,
2021-05-17 04:03:38,Buy,USDT,-899.20000000,
2021-05-17 04:03:38,Buy,ETH,0.28100000,
2021-05-17 04:03:38,FEE,BNB,-0.00134964,
2021-05-17 22:02:41,Small assets exchange BNB,USDT,-0.02060000,
2021-05-17 22:02:41,Small assets exchange BNB,BNB,0.00003900,
2021-05-18 01:00:53,POS savings interest,ADA,0.01803621,
2021-05-19 01:00:14,POS savings interest,ADA,0.01803621,
2021-05-19 03:47:08,Deposit,BTC,0.00399931,200.00
2021-05-19 12:37:37,Buy,USDT,352.91228823,
2021-05-19 12:37:37,FEE,BNB,-0.00069780,
2021-05-19 12:37:37,Buy,BTC,-0.00926700,
2021-05-19 13:00:44,FEE,BNB,-0.00081025,
2021-05-19 13:00:44,Buy,BTC,0.01037900,
2021-05-19 13:00:44,Buy,USDT,-352.88600000,
2021-05-19 18:10:52,Buy,ADA,19.00000000,
2021-05-19 18:10:52,Buy,ETH,-0.01683693,
2021-05-19 18:10:52,Buy,ETH,-0.01245940,
2021-05-19 18:10:52,Buy,ETH,-0.03180105,
2021-05-19 18:10:52,Buy,ADA,51.00000000,
2021-05-19 18:10:52,FEE,BNB,-0.00008907,
2021-05-19 18:10:52,FEE,BNB,-0.00006267,
2021-05-19 18:10:52,FEE,BNB,-0.00016824,
2021-05-19 18:10:52,Buy,ETH,-0.01182085,
2021-05-19 18:10:52,Buy,ADA,27.00000000,
2021-05-19 18:10:52,FEE,BNB,-0.00006597,
2021-05-19 18:10:52,Buy,ADA,20.00000000,
2021-05-19 18:19:39,Small assets exchange BNB,USDT,-0.02628823,
2021-05-19 18:19:39,Small assets exchange BNB,BNB,0.00006832,
2021-05-20 01:02:21,POS savings interest,ADA,0.01803621,
2021-05-21 01:01:20,POS savings interest,ADA,0.01803621,
2021-05-21 16:03:48,FEE,BNB,-0.00036357,
2021-05-21 16:03:48,Buy,USDT,153.33938040,
2021-05-21 16:03:48,Buy,BTC,-0.00415200,
2021-05-21 17:19:26,FEE,BNB,-0.00017601,
2021-05-21 17:19:26,Buy,USDT,-78.66600000,
2021-05-21 17:19:26,Buy,XMR,0.28095000,
2021-05-21 17:19:27,FEE,BNB,-0.00016707,
2021-05-21 17:19:27,Buy,XMR,0.26669000,
2021-05-21 17:19:27,Buy,USDT,-74.67320000,
2021-05-22 00:56:56,Small assets exchange BNB,USDT,-0.00018040,
2021-05-22 00:56:56,Small assets exchange BNB,BNB,0.00000054,
2021-05-22 13:21:27,POS savings interest,ADA,0.01803621,
2021-05-23 01:00:12,POS savings interest,ADA,0.01803621,
2021-05-23 15:51:20,Buy,BUSD,191.40304040,
2021-05-23 15:51:20,Buy,ETH,-0.09988000,
2021-05-23 15:51:20,FEE,BNB,-0.00061077,
2021-05-23 16:07:41,Buy,BUSD,-191.40100000,
2021-05-23 16:07:41,Buy,ETH,0.10346000,
2021-05-24 01:00:02,POS savings interest,ADA,0.01803621,
2021-05-25 01:00:22,POS savings interest,ADA,0.01803621,
2021-05-26 06:20:49,POS savings interest,ADA,0.01803621,
2021-05-27 00:56:18,POS savings interest,ADA,0.01803621,
2021-05-28 00:57:25,POS savings interest,ADA,0.01803621,
2021-05-28 22:55:08,Deposit,BTC,0.01151905,493.12
2021-05-28 23:00:06,Large OTC trading,BTC,-0.00287976,
2021-05-28 23:00:06,Large OTC trading,ETH,0.04214667,
2021-05-28 23:01:07,Large OTC trading,BTC,-0.00287976,
2021-05-28 23:01:07,Large OTC trading,ADA,67.36280702,
2021-05-28 23:01:48,Large OTC trading,XMR,0.23621579,
2021-05-28 23:01:48,Large OTC trading,BTC,-0.00172785,
2021-05-28 23:02:59,Large OTC trading,BNB,0.17949853,
2021-05-28 23:02:59,Large OTC trading,BTC,-0.00172786,
2021-05-29 00:56:41,POS savings interest,ADA,0.01803621,
2021-05-29 03:58:54,Large OTC trading,BNB,0.16170035,
2021-05-29 03:58:54,Large OTC trading,ETH,-0.02221122,
2021-05-29 04:00:47,Large OTC trading,ETH,-0.02221122,
2021-05-29 04:00:47,Large OTC trading,BTC,0.00153584,
2021-05-30 00:57:03,POS savings interest,ADA,0.01803621,
2021-05-31 00:56:47,POS savings interest,ADA,0.01803621,
2021-06-01 00:55:04,POS savings interest,ADA,0.01803621,
2021-06-02 00:55:30,POS savings interest,ADA,0.01803621,
2021-06-03 00:55:37,POS savings interest,ADA,0.01803621,
2021-06-04 04:10:53,POS savings interest,ADA,0.01803621,
2021-06-05 00:53:18,POS savings interest,ADA,0.01803621,
2021-06-06 00:55:02,POS savings interest,ADA,0.01803621,
2021-06-07 00:53:48,POS savings interest,ADA,0.01803621,
2021-06-08 00:53:26,POS savings interest,ADA,0.01803621,
2021-06-09 00:51:35,POS savings interest,ADA,0.01803621,
2021-06-10 00:53:10,POS savings interest,ADA,0.01803621,
2021-06-11 00:52:19,POS savings interest,ADA,0.01803621,
2021-06-12 00:50:48,POS savings interest,ADA,0.01803621,
2021-06-13 00:49:35,POS savings interest,ADA,0.01803621,
2021-06-14 00:49:12,POS savings interest,ADA,0.01803621,
2021-06-14 22:41:05,Deposit,BTC,0.01131335,560.00
2021-06-15 00:01:37,transfer_out,BTC,-0.00727449,
2021-06-15 00:15:51,Large OTC trading,BTC,-0.00334000,
2021-06-15 00:15:51,Large OTC trading,XMR,0.48785333,
2021-06-15 00:47:59,POS savings interest,ADA,0.01803621,
2021-06-16 00:47:43,POS savings interest,ADA,0.01803621,
2021-06-17 00:46:36,POS savings interest,ADA,0.01803621,
2021-06-18 00:46:54,POS savings interest,ADA,0.01803621,
2021-06-18 12:25:12,Small assets exchange BNB,BUSD,-0.00204040,
2021-06-18 12:25:12,Small assets exchange BNB,BNB,0.00000571,
2021-06-19 00:45:28,POS savings interest,ADA,0.01803621,
2021-06-20 00:46:13,POS savings interest,ADA,0.01803621,
2021-06-21 00:39:11,POS savings interest,ADA,0.01803621,
2021-06-22 00:46:05,POS savings interest,ADA,0.01803621,
2021-06-22 15:12:50,transfer_in,BUSD,310.07751937,400.00
2021-06-22 15:13:51,Large OTC trading,BUSD,-310.07751937,
2021-06-22 15:13:51,Large OTC trading,BTC,0.01002822,
2021-06-23 00:44:14,POS savings interest,ADA,0.01803621,
2021-06-24 00:43:37,POS savings interest,ADA,0.01803621,
2021-06-24 17:07:34,Sell,BUSD,545.86000000,
2021-06-24 17:07:34,Sell,BTC,-0.01559600,
2021-06-25 00:42:45,POS savings interest,ADA,0.01803621,
2021-06-25 16:28:07,Buy,BTC,0.01705800,
2021-06-25 16:28:07,Buy,BUSD,-545.85600000,
2021-06-26 00:43:34,POS savings interest,ADA,0.01803621,
2021-06-27 00:42:16,POS savings interest,ADA,0.01803621,
2021-06-28 00:41:14,POS savings interest,ADA,0.01803621,
2021-06-28 15:39:43,Sell,ETH,-0.10470000,
2021-06-28 15:39:43,Sell,BUSD,219.87000000,
2021-06-29 00:41:02,POS savings interest,ADA,0.01803621,
2021-06-29 23:29:11,transfer_in,BTC,0.00727449,
2021-06-30 00:41:25,POS savings interest,ADA,0.01803621,
2021-07-01 00:38:57,POS savings interest,ADA,0.01803621,
2021-07-01 14:30:57,Buy,ETH,0.10520000,
2021-07-01 14:30:57,Buy,BUSD,-219.86800000,
2021-07-02 00:37:27,POS savings interest,ADA,0.01803621,
2021-07-02 22:58:02,Sell,BUSD,225.64250000,
2021-07-02 22:58:02,Sell,ETH,-0.10495000,
2021-07-03 00:44:55,POS savings redemption,ADA,84.51040763,
2021-07-06 05:00:10,Sell,BNB,-0.60400000,
2021-07-06 05:00:10,Sell,BUSD,190.86400000,
2021-07-08 07:32:44,Buy,BUSD,-225.63200000,
2021-07-08 07:32:44,Buy,ETH,0.10256000,
2021-07-09 16:24:11,Buy,BUSD,-190.84920000,
2021-07-09 16:24:11,Buy,BNB,0.60780000,
2021-07-12 00:26:41,TRANSFER,ADA,-51.00000000,
2021-07-12 00:34:41,TRANSFER,ADA,-297.73113500,
2021-07-19 16:51:44,Large OTC trading,BUSD,-44.49250000,
2021-07-19 16:51:44,Large OTC trading,BTC,0.00144613,
2021-07-20 19:11:55,transfer_in,BUSD,381.67938931,500.00
2021-07-20 19:12:26,Buy,BUSD,-360.34294133,
2021-07-20 19:12:26,FEE,BNB,-0.00006000,
2021-07-20 19:12:26,Buy,BTC,0.00071600,
2021-07-20 19:12:26,FEE,BNB,-0.00100927,
2021-07-20 19:12:26,Buy,BTC,0.01210700,
2021-07-20 19:12:26,Buy,BUSD,-21.30922684,
