Date(UTC),Pair,Side,Price,Executed,Amount,Fee
2021-10-29 00:49:26,BTCBUSD,SELL,61000.000000,0.004510BTC,275.110000BUSD,0.0000000000BNB
2021-10-26 22:39:13,BTCBUSD,BUY,60000.000000,0.005000BTC,300.000000BUSD,0.0000000000BNB
2021-10-22 13:21:16,SOLBUSD,SELL,210.000000,0.160000SOL,33.600000BUSD,0.0000000000BNB
2021-10-22 13:21:16,SOLBUSD,SELL,210.000000,1.270000SOL,266.700000BUSD,0.0000000000BNB
2021-10-15 01:13:46,DOTBUSD,BUY,39.700000,7.980000DOT,316.806000BUSD,0.0000000000BNB
2021-10-15 01:13:46,DOTBUSD,BUY,39.700000,1.210000DOT,48.037000BUSD,0.0000000000BNB
2021-10-15 00:06:59,BNBBUSD,BUY,469.000000,0.778000BNB,364.882000BUSD,0.0000000000BNB
2021-10-02 13:20:11,ETHBUSD,BUY,3300.000000,0.241300ETH,796.290000BUSD,0.0000000000BNB
2021-10-02 13:18:43,BTCBUSD,BUY,47700.000000,0.016710BTC,797.067000BUSD,0.0000000000BNB
2021-10-02 03:46:41,SOLBUSD,BUY,157.000000,1.450000SOL,227.650000BUSD,0.0000000000BNB
2021-10-02 03:25:39,ATOMBUSD,BUY,38.000000,5.990000ATOM,227.620000BUSD,0.0000000000BNB
2021-10-02 02:10:07,LUNABUSD,BUY,38.000000,5.990000LUNA,227.620000BUSD,0.0000000000BNB
2021-09-13 14:45:01,BTCBUSD,SELL,44050.990000,0.000230BTC,10.131728BUSD,0.0000000000BNB
2021-09-13 13:36:15,ETHBUSD,SELL,3310.000000,0.210300ETH,696.093000BUSD,0.0000000000BNB
2021-09-13 03:04:14,SOLBUSD,SELL,158.170000,1.720000SOL,272.052400BUSD,0.0000000000BNB
2021-09-13 03:03:38,SOLBUSD,SELL,158.170000,1.590000SOL,251.490300BUSD,0.0000000000BNB
2021-09-12 08:20:39,BTCBUSD,SELL,46000.000000,0.022750BTC,1046.500000BUSD,0.0000000000BNB
2021-09-10 16:38:52,SOLBUSD,BUY,174.000000,3.310000SOL,575.940000BUSD,0.0000000000BNB
2021-09-10 11:50:11,SOLBUSD,SELL,184.000000,3.130000SOL,575.920000BUSD,0.0000000000BNB
2021-09-07 14:29:32,SOLBUSD,BUY,167.000000,3.130000SOL,522.710000BUSD,0.0000000000BNB
2021-09-06 19:31:51,ADABUSD,BUY,2.840000,270.900000ADA,769.356000BUSD,0.0000000000BNB
2021-09-04 13:12:28,AXSBUSD,SELL,90.00,5.81AXS,522.900BUSD,0.0000000000BNB
2021-08-30 04:45:01,ADABUSD,BUY,2.8000000000,152.5000000000ADA,427.00000000BUSD,0.0000000000BNB
2021-08-27 05:05:16,BTCBUSD,SELL,"47,000.0000000000",0.0211100000BTC,992.17000000BUSD,0.0000000000BNB
